bt,value,event,duration
2017-07-27 02:15:00,63.25,0.0,
2017-07-27 02:18:00,63.24571428571429,0.0,
2017-07-27 02:21:00,63.238749999999996,0.0,
2017-07-27 02:24:00,63.25428571428571,0.0,
2017-07-27 02:27:00,63.31857142857143,0.0,
2017-07-27 02:30:00,63.33571428571429,0.0,
2017-07-27 02:33:00,63.31,0.0,
2017-07-27 02:36:00,63.33571428571429,0.0,
2017-07-27 02:39:00,63.35499999999999,0.0,
2017-07-27 02:42:00,63.36142857142857,0.0,
2017-07-27 02:45:00,63.387142857142855,0.0,
2017-07-27 02:48:00,63.39999999999999,0.0,
2017-07-27 02:51:00,63.374285714285705,0.0,
2017-07-27 02:54:00,63.387142857142855,0.0,
2017-07-27 02:57:00,63.39999999999999,0.0,
2017-07-27 03:00:00,63.38714285714285,0.0,
2017-07-27 03:03:00,63.36142857142857,0.0,
2017-07-27 03:06:00,63.31,0.0,
2017-07-27 03:09:00,63.39999999999999,0.0,
2017-07-27 03:12:00,63.42857142857142,0.0,
2017-07-27 03:15:00,63.39999999999999,0.0,
2017-07-27 03:18:00,63.39999999999999,0.0,
2017-07-27 03:21:00,63.457142857142856,0.0,
2017-07-27 03:24:00,63.5,0.0,
2017-07-27 03:27:00,63.5,0.0,
2017-07-27 03:30:00,63.5,0.0,
2017-07-27 03:33:00,63.587500000000006,0.0,
2017-07-27 03:36:00,63.66428571428571,0.0,
2017-07-27 03:39:00,63.73285714285715,0.0,
2017-07-27 03:42:00,63.86142857142857,0.0,
2017-07-27 03:45:00,63.88999999999999,0.0,
2017-07-27 03:48:00,63.88999999999999,0.0,
2017-07-27 03:51:00,63.88999999999999,0.0,
2017-07-27 03:54:00,63.88999999999999,0.0,
2017-07-27 03:57:00,63.92857142857144,0.0,
2017-07-27 04:00:00,63.980000000000004,0.0,
2017-07-27 04:03:00,64.00857142857143,0.0,
2017-07-27 04:06:00,64.00857142857143,0.0,
2017-07-27 04:09:00,64.005,0.0,
2017-07-27 04:12:00,63.980000000000004,0.0,
2017-07-27 04:15:00,63.980000000000004,0.0,
2017-07-27 04:18:00,63.980000000000004,0.0,
2017-07-27 04:21:00,63.980000000000004,0.0,
2017-07-27 04:24:00,63.94142857142857,0.0,
2017-07-27 04:27:00,63.912499999999994,0.0,
2017-07-27 04:30:00,63.88999999999999,0.0,
2017-07-27 04:33:00,63.84714285714286,0.0,
2017-07-27 04:36:00,63.790000000000006,0.0,
2017-07-27 04:39:00,63.76142857142857,0.0,
2017-07-27 04:42:00,63.66428571428572,0.0,
2017-07-27 04:45:00,63.67875,0.0,
2017-07-27 04:48:00,63.69,0.0,
2017-07-27 04:51:00,63.73285714285715,0.0,
2017-07-27 04:54:00,63.73285714285715,0.0,
2017-07-27 04:57:00,63.790000000000006,0.0,
2017-07-27 05:00:00,63.818571428571424,0.0,
2017-07-27 05:03:00,63.88999999999999,0.0,
2017-07-27 05:06:00,63.91571428571429,0.0,
2017-07-27 05:09:00,63.980000000000004,0.0,
2017-07-27 05:12:00,63.99428571428571,0.0,
2017-07-27 05:15:00,64.02285714285713,0.0,
2017-07-27 05:18:00,64.10571428571428,0.0,
2017-07-27 05:21:00,64.17,0.0,
2017-07-27 05:24:00,64.17,0.0,
2017-07-27 05:27:00,64.22714285714285,0.0,
2017-07-27 05:30:00,64.27,0.0,
2017-07-27 05:33:00,64.2842857142857,0.0,
2017-07-27 05:36:00,64.37,0.0,
2017-07-27 05:39:00,64.37,0.0,
2017-07-27 05:42:00,67.79714285714284,0.0,
2017-07-27 05:45:00,79.23296296296297,0.0,
2017-07-27 05:48:00,83.54272727272728,1.0,3.0
2017-07-27 05:51:00,80.64000000000001,1.0,
2017-07-27 05:54:00,78.195,1.0,
2017-07-27 05:57:00,76.0375,0.0,
2017-07-27 06:00:00,74.78142857142858,0.0,
2017-07-27 06:03:00,73.60142857142857,0.0,
2017-07-27 06:06:00,72.85571428571428,0.0,
2017-07-27 06:09:00,72.50285714285714,0.0,
2017-07-27 06:12:00,71.88714285714285,0.0,
2017-07-27 06:15:00,71.46375,0.0,
2017-07-27 06:18:00,71.18571428571428,0.0,
2017-07-27 06:21:00,70.9242857142857,0.0,
2017-07-27 06:24:00,70.4,0.0,
2017-07-27 06:27:00,70.12428571428572,0.0,
2017-07-27 06:30:00,69.77000000000001,0.0,
2017-07-27 06:33:00,69.64714285714285,0.0,
2017-07-27 06:36:00,69.31714285714285,0.0,
2017-07-27 06:39:00,69.19285714285715,0.0,
2017-07-27 06:42:00,69.10857142857144,0.0,
2017-07-27 06:45:00,68.81857142857145,0.0,
2017-07-27 06:48:00,68.745,0.0,
2017-07-27 06:51:00,68.62857142857143,0.0,
2017-07-27 06:54:00,68.58714285714287,0.0,
2017-07-27 06:57:00,68.48142857142857,0.0,
2017-07-27 07:00:00,68.38142857142857,0.0,
2017-07-27 07:03:00,68.26714285714284,0.0,
2017-07-27 07:06:00,68.1875,0.0,
2017-07-27 07:09:00,68.04857142857142,0.0,
2017-07-27 07:12:00,67.91285714285713,0.0,
2017-07-27 07:15:00,67.77714285714286,0.0,
2017-07-27 07:18:00,67.66857142857143,0.0,
2017-07-27 07:21:00,67.55428571428573,0.0,
2017-07-27 07:24:00,67.49000000000001,0.0,
2017-07-27 07:27:00,67.40142857142858,0.0,
2017-07-27 07:30:00,67.35000000000001,0.0,
2017-07-27 07:33:00,67.26,0.0,
2017-07-27 07:36:00,67.32428571428572,0.0,
2017-07-27 07:39:00,67.38857142857144,0.0,
2017-07-27 07:42:00,67.35000000000001,0.0,
2017-07-27 07:45:00,67.31857142857143,0.0,
2017-07-27 07:48:00,67.24,0.0,
2017-07-27 07:51:00,67.11714285714287,0.0,
2017-07-27 07:54:00,67.04285714285713,0.0,
2017-07-27 07:57:00,67.02857142857142,0.0,
2017-07-27 08:00:00,66.95500000000001,0.0,
2017-07-27 08:03:00,66.95857142857143,0.0,
2017-07-27 08:06:00,66.93,0.0,
2017-07-27 08:09:00,66.88714285714285,0.0,
2017-07-27 08:12:00,66.85857142857142,0.0,
2017-07-27 08:15:00,66.93,0.0,
2017-07-27 08:18:00,66.93,0.0,
2017-07-27 08:21:00,66.92999999999999,0.0,
2017-07-27 08:24:00,66.74000000000001,0.0,
2017-07-27 08:27:00,66.64999999999999,0.0,
2017-07-27 08:30:00,66.56428571428572,0.0,
2017-07-27 08:33:00,66.53571428571429,0.0,
2017-07-27 08:36:00,66.41250000000001,0.0,
2017-07-27 08:39:00,66.35000000000001,0.0,
2017-07-27 08:42:00,66.28571428571428,0.0,
2017-07-27 08:45:00,66.29857142857144,0.0,
2017-07-27 08:48:00,66.32428571428572,0.0,
2017-07-27 08:51:00,66.35,0.0,
2017-07-27 08:54:00,66.32,0.0,
2017-07-27 08:57:00,66.29,0.0,
2017-07-27 09:00:00,66.26,0.0,
2017-07-27 09:03:00,66.26,0.0,
2017-07-27 09:06:00,66.20285714285714,0.0,
2017-07-27 09:09:00,66.15999999999998,0.0,
2017-07-27 09:12:00,66.23142857142857,0.0,
2017-07-27 09:15:00,66.2475,0.0,
2017-07-27 09:18:00,66.27285714285713,0.0,
2017-07-27 09:21:00,66.31142857142858,0.0,
2017-07-27 09:24:00,66.33714285714287,0.0,
2017-07-27 09:27:00,66.35000000000001,0.0,
2017-07-27 09:30:00,66.42142857142856,0.0,
2017-07-27 09:33:00,66.5,0.0,
2017-07-27 09:36:00,66.45,0.0,
2017-07-27 09:39:00,66.36428571428573,0.0,
2017-07-27 09:42:00,66.35000000000001,0.0,
2017-07-27 09:45:00,66.31142857142856,0.0,
2017-07-27 09:48:00,66.27285714285713,0.0,
2017-07-27 09:51:00,66.17375,0.0,
2017-07-27 09:54:00,66.02714285714286,0.0,
2017-07-27 09:57:00,65.97000000000001,0.0,
2017-07-27 10:00:00,65.95714285714287,0.0,
2017-07-27 10:03:00,65.89285714285714,0.0,
2017-07-27 10:06:00,65.89285714285714,0.0,
2017-07-27 10:09:00,65.9025,0.0,
2017-07-27 10:12:00,65.86571428571428,0.0,
2017-07-27 10:15:00,65.72285714285714,0.0,
2017-07-27 10:18:00,65.62285714285714,0.0,
2017-07-27 10:21:00,65.51571428571428,0.0,
2017-07-27 10:24:00,65.33714285714287,0.0,
2017-07-27 10:27:00,65.25,0.0,
2017-07-27 10:30:00,65.2,0.0,
2017-07-27 10:33:00,65.27142857142857,0.0,
2017-07-27 10:36:00,65.2,0.0,
2017-07-27 10:39:00,65.18714285714286,0.0,
2017-07-27 10:42:00,64.96714285714283,0.0,
2017-07-27 10:45:00,64.92249999999999,0.0,
2017-07-27 10:48:00,65.01,0.0,
2017-07-27 10:51:00,65.08142857142857,0.0,
2017-07-27 10:54:00,65.01,0.0,
2017-07-27 10:57:00,65.02428571428571,0.0,
2017-07-27 11:00:00,64.9242857142857,0.0,
2017-07-27 11:03:00,64.8225,0.0,
2017-07-27 11:06:00,64.82428571428571,0.0,
2017-07-27 11:09:00,64.88142857142857,0.0,
2017-07-27 11:12:00,64.96714285714286,0.0,
2017-07-27 11:15:00,65.01,0.0,
2017-07-27 11:18:00,65.12285714285714,0.0,
2017-07-27 11:21:00,65.1775,0.0,
2017-07-27 11:24:00,65.02428571428571,0.0,
2017-07-27 11:27:00,64.98142857142857,0.0,
2017-07-27 11:30:00,64.83857142857143,0.0,
2017-07-27 11:33:00,64.78428571428572,0.0,
2017-07-27 11:36:00,64.80428571428571,0.0,
2017-07-27 11:39:00,64.75874999999999,0.0,
2017-07-27 11:42:00,64.68571428571428,0.0,
2017-07-27 11:45:00,64.51714285714284,0.0,
2017-07-27 11:48:00,64.40857142857142,0.0,
2017-07-27 11:51:00,64.2842857142857,0.0,
2017-07-27 11:54:00,64.17285714285715,0.0,
2017-07-27 11:57:00,64.05499999999999,0.0,
2017-07-27 12:00:00,64.03714285714285,0.0,
2017-07-27 12:03:00,63.88999999999999,0.0,
2017-07-27 12:06:00,63.91571428571428,0.0,
